BuildingType,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFAParking(m2),PropertyGFATotal(m2),SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),YearBuilt,ZipCode
NonResidential,1.0,6.406137135967059,Senior Care Community,1.0,2.0,85.0,Senior Care Community,,9.06841559344744,,,9.790037668836577,1970.0,98133.0
NonResidential,71.0,4.256321678298823,Hotel,1.0,6.0,86.0,Hotel,7.563234768970306,8.963598606804787,Parking,7.563234768970306,8.326539824239443,2008.0,98109.0
NonResidential,48.0,6.209213574104885,Medical Office,0.0,3.0,89.0,Medical Office,,9.719020383715682,,,9.862394190848613,1965.0,98122.0
NonResidential,47.5,5.557580674168606,Hotel,1.0,7.0,95.0,Hotel,,8.870558063259443,,,8.93842775503131,1908.0,98104.0
NonResidential,,6.138148131727295,Medical Office,1.0,6.0,96.0,Mixed Use Property,6.765969681533557,9.134524131075736,Parking,7.569773253802992,9.705438249185029,1983.0,98104.0
NonResidential,95.5,3.6731310971457973,Retail Store,1.0,2.0,98.0,Retail Store,,8.597501456343249,,,7.233817443290181,1929.0,98109.0
NonResidential,96.0,4.904830235199279,Office,1.0,5.0,100.0,Large Office,,10.288266468107444,Parking,9.547019987595743,9.576501335109928,2010.0,98109.0
NonResidential,38.5,6.2500041993691795,Hotel,1.0,7.0,102.0,Hotel,8.333005291360278,10.176519050132432,Parking,8.473856364955264,9.965011890420296,1990.0,98109.0
Nonresidential COS,,6.527899436380392,Other,1.0,1.0,103.0,Other,,10.495135712261291,,,10.233044164560386,1962.0,98109.0
Nonresidential COS,,5.454209386505011,Other,1.0,1.0,104.0,Other,,9.04475379942437,,,8.890150622012545,1962.0,98109.0
Nonresidential COS,,6.748179074243112,Other,1.0,5.0,106.0,Other,,10.513185203328716,,,10.142275627502086,1938.0,98109.0
NonResidential,90.0,6.441329242512831,Office,1.0,12.0,107.0,Large Office,,10.879521594506265,Parking,10.270380966497884,10.67293622628104,2010.0,98109.0
Nonresidential COS,,4.596230344418617,Other,1.0,2.0,110.0,Other,,8.482800087224273,,,7.926606892633359,1962.0,98109.0
Nonresidential COS,,1.8373699804801074,Other,1.0,1.0,111.0,Other,,8.637434166678618,,,6.856505220547399,1928.0,98109.0
Nonresidential COS,,6.0972199847738455,Other,1.0,2.0,112.0,Other,,10.100084061730623,,,9.997955503237801,1928.0,98109.0
NonResidential,,3.3882809897289285,Office,0.0,2.0,113.0,Small- and Mid-Sized Office,5.386822398679226,8.72484087871985,Data Center,6.176554456475497,8.410865444883072,1986.0,98109.0
NonResidential,70.0,3.856404581665134,Office,1.0,4.0,115.0,Small- and Mid-Sized Office,7.786956968193419,8.865088420458834,Parking,7.597467476818083,8.2212596997658,1970.0,98033.0
NonResidential,54.0,4.979557338525394,Hotel,1.0,6.0,116.0,Hotel,8.140688904666526,9.105339081389305,Parking,8.140688904666526,8.621889279171723,2002.0,98109.0
NonResidential,52.0,5.266671888712491,Hotel,2.0,4.0,117.0,Hotel,,8.44391931628409,Swimming Pool,,8.688212688093984,1962.0,98105.0
SPS-District K-12,,2.918851229218033,K-12 School,1.0,3.0,118.0,K-12 School,,8.841925871552496,,,6.962091643404881,1999.0,98106.0
NonResidential,38.5,4.268297869345539,K-12 School,1.0,3.0,119.0,K-12 School,,8.74727750203146,,,7.958748314877427,1923.0,98112.0
NonResidential,100.0,5.466392084034434,K-12 School,1.0,6.0,120.0,K-12 School,,9.799950466539524,,,8.959106726151571,1908.0,98112.0
NonResidential,67.0,3.4826237470243506,Office,1.0,3.0,121.0,Small- and Mid-Sized Office,8.108162580273996,9.13104041915995,Parking,8.108162580273996,8.532162208290277,2003.0,98144.0
SPS-District K-12,,2.7520670865189842,K-12 School,1.0,2.0,122.0,K-12 School,,8.607957574053685,,,7.173837057454627,1991.0,98144.0
SPS-District K-12,63.0,5.416033733315433,K-12 School,1.0,1.0,125.0,K-12 School,,9.40569970147674,,,8.96349057186,1957.0,98108.0
SPS-District K-12,93.5,2.8786365016777435,K-12 School,1.0,3.0,127.0,K-12 School,,8.625150649474243,,,7.509743147086181,1989.0,98118.0
SPS-District K-12,85.0,4.5115735372505075,K-12 School,1.0,2.0,130.0,K-12 School,,9.066497204733816,,,8.204738626878337,1964.0,98119.0
NonResidential,,3.7981821890043865,Other,1.0,4.0,131.0,Other,,8.566168619154743,,,8.812034303695944,1941.0,98115.0
NonResidential,,4.915665056505029,Other,1.0,2.0,132.0,Other,,9.863956270488039,Parking,,8.466537644234174,1929.0,98115.0
NonResidential,87.5,4.890950451150276,Hotel,1.0,4.0,136.0,Hotel,,8.470999969646984,Parking,,8.280560579132327,2001.0,98133.0
SPS-District K-12,88.0,4.838026416156094,K-12 School,1.0,2.0,137.0,K-12 School,,9.406852923561589,,,8.426099740586269,1963.0,98133.0
SPS-District K-12,93.5,6.017156660031437,K-12 School,1.0,1.0,138.0,K-12 School,,10.035207631918816,,,9.486114052754337,1959.0,98133.0
NonResidential,76.5,4.485372622532496,Hotel,1.0,3.0,139.0,Hotel,,8.767660875902777,,,8.162811537746085,2002.0,98133.0
