OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),GHGEmissions(MetricTonsCO2e)
21520,NonResidential,Small- and Mid-Sized Office,98104.0,1964,1.0,5,8.529114662177253,6.793840164863365,Office,Parking,,68.0,8.278192357271523,3.810875823423188
21521,NonResidential,K-12 School,98102.0,1930,1.0,2,8.3593278216234,,K-12 School,,,57.0,8.549191534428799,5.188586202394875
21530,NonResidential,Small- and Mid-Sized Office,98109.0,1959,1.0,2,7.582155543637676,,Office,,,91.0,6.345838860082684,1.3622577832916491
21533,NonResidential,Mixed Use Property,98109.0,2008,1.0,4,10.146296314006392,,Hotel,Parking,9.190257842841058,,9.215690545367138,5.396691030906297
21534,NonResidential,Small- and Mid-Sized Office,98109.0,2013,1.0,3,8.47414737563741,,Office,Data Center,4.100773452550391,,7.3218159077997225,2.3020849679523634
21535,NonResidential,Hotel,98109.0,1959,1.0,4,8.18273395557277,,Hotel,,,41.0,7.9417965324943225,4.150173388848878
21537,NonResidential,Hotel,98109.0,1961,1.0,3,7.9052455108884,5.979886120682188,Hotel,,,93.0,6.885426801973287,3.4518904959776733
21546,NonResidential,Worship Facility,98109.0,1960,1.0,1,7.8398340443733066,,Worship Facility,,,60.5,6.572862036794199,1.3506671834767394
21549,NonResidential,Laboratory,98119.0,1962,1.0,2,8.07007794116822,,Laboratory,Office,7.153830792723651,,9.457534514328538,5.967888810579276
21550,NonResidential,Small- and Mid-Sized Office,98119.0,1930,1.0,3,8.357236864248927,,Office,,,91.5,8.219210670053474,4.832265917140729
21557,NonResidential,K-12 School,98125.0,1999,1.0,2,8.42850634457347,,K-12 School,,,15.0,8.376992039797168,4.5958266709849385
21570,SPS-District K-12,K-12 School,98125.0,1950,1.0,1,8.058063941270447,,K-12 School,,,,,
21578,SPS-District K-12,K-12 School,98116.0,1949,1.0,1,8.250504203878815,,K-12 School,,,,,
21580,NonResidential,Small- and Mid-Sized Office,98102.0,1987,1.0,3,8.033383091586925,,Office,Parking,7.239606569745056,89.0,7.391854073983201,3.591542221224979
21582,NonResidential,Retail Store,98102.0,1993,1.0,3,7.758162239572957,5.8570385903659785,Retail Store,Medical Office,6.616482840553251,,7.556172362595,3.846630786661094
21601,SPS-District K-12,K-12 School,98118.0,2000,1.0,2,8.857078787207477,,K-12 School,,,83.0,7.858636705268128,3.847484484290575
21604,SPS-District K-12,K-12 School,98118.0,2008,1.0,2,7.916793730726272,,K-12 School,,,66.0,7.4951657236598015,3.410157123033627
21611,NonResidential,Worship Facility,98108.0,1977,1.0,99,7.620232387839574,,Worship Facility,,,67.0,5.828469298576173,0.8087055211942177
