OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SiteEnergyUseWN(GJ),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),TotalGHGEmissions(MetricTonsCO2e)
27016,NonResidential,Small- and Mid-Sized Office,"Pacific Georgetown Center, LLC",98108.0,5367201500,2,GREATER DUWAMISH,1969,1.0,1,3253.18575168,0.0,Office,Non-Refrigerated Warehouse,61.0,1346.3215480929684,1541037.780725,0.0,283919.59375,409584.31506999995,27.369999999999997
27080,NonResidential,Worship Facility,Japanese Presbyterian Church,98144.0,3881900570,3,SOUTHEAST,1963,1.0,2,2132.31057408,0.0,Worship Facility,Parking,98.0,434.956686034416,597225.4172449999,0.0,37603.75,356742.69002999994,18.85
27117,NonResidential,Warehouse,N W WAREHOUSE,98108.0,5367201635,2,GREATER DUWAMISH,1976,1.0,1,1954.6799616,0.0,Non-Refrigerated Warehouse,,40.5,695.5899849227656,676502.988321875,0.0,82085.5,335788.14336999995,18.86
27122,NonResidential,Warehouse,Cedar Heights,98108.0,5367201865,2,GREATER DUWAMISH,1951,1.0,2,2604.2580172800003,0.0,Non-Refrigerated Warehouse,,56.5,901.1439432673128,1359524.9286187498,0.0,147134.75,724698.55774,39.980000000000004
27131,NonResidential,Distribution Center,Pacific Rubber Inc,98108.0,5367204010,2,GREATER DUWAMISH,1974,1.0,1,2380.1758848,0.0,Distribution Center,,82.5,451.4237014513098,595347.60826875,0.0,56279.449219999995,332156.62685,18.055
27141,NonResidential,Warehouse,(ID27141) TSUE CHONG BUILDING,98144.0,5391600310,2,DOWNTOWN,1992,1.0,3,3087.9112435200004,0.0,Non-Refrigerated Warehouse,,12.5,1824.4331656386807,1794450.7957699997,0.0,498477.04689999996,0.0,11.855
27142,NonResidential,K-12 School,St. James Cathedral Place,98104.0,5392100010,3,EAST,1912,1.0,4,2582.7045120000002,0.0,K-12 School,,8.0,2512.6413878884587,1379833.9763825,0.0,153476.85155000002,696952.06233,38.730000000000004
27145,NonResidential,Large Office,719 2nd Ave (Millennium Tower),98104.0,5530510000,7,DOWNTOWN,2000,1.0,6,65605.89717504001,0.0,Office,Parking,80.0,2114.593615213593,14101222.959679998,0.0,3887360.125,0.0,92.47
27162,NonResidential,Supermarket / Grocery Store,West Seattle Thriftway,98136.0,5637500005,1,SOUTHWEST,1998,1.0,1,3131.38986624,0.0,Supermarket/Grocery Store,,23.0,7583.91846888683,9669146.95782,0.0,1623396.8125,3359149.61582,207.71
27184,NonResidential,Mixed Use Property,property #10,98119.0,7443001620,7,MAGNOLIA / QUEEN ANNE,1961,1.0,2,3493.154304,0.0,Non-Refrigerated Warehouse,Other,,932.9423342874461,2059267.8224725001,0.0,130101.64845,1296738.9014899998,68.37
